＿｜＿⋆　！,"KN Gallery",/kn/gallery/!/,en,"会期：2022年7月19日(火) , 26日(火)｜場所：34.7076568, 135.4939422",none,,show
｡::ﾟ::｡::¨･¨::｡::ﾟ::｡::¨･¨::｡::ﾟ,"KN Gallery",/kn/gallery/****/,en,"会期：2022年6月21日(火) - 28日(火)｜Instagram (@c_c.mobile)",none,,show
🪨,"KN Gallery",/kn/gallery/🪨/,en,"会期：2022年5月27日（金）- 29日（日）｜森、道、市場 2022",none,,show
２つ,"KN Gallery",/kn/gallery/april26/,en,"会期：2022年5月10日（火）- 14日（土）｜アポイントメント制",none,,show
小さな器,"KN Gallery",/kn/gallery/archive/,en,"会期：2022年4月26日（火）- 5月4日（水）｜非公開",none,,show
KN Gallery,"Mobile Based",/kn/gallery/,ja,"私は、この小さなギャラリーを持って色んな場所に滞在し、その時その場所にあったものをこのギャラリーに展示します。
偶然見つけた私にとってはとても魅力的で手放せない大切なものを、これからも訪れる先々で見つけ、たくさん集めたいと思っています。",none,,gallery
Gallery Laurel Schwulst,"New York, USA",/value/gallery/laurelschwulst/,en,"by Laurel Schwulst",none,,gallery
Gallery Your Name,"by appointment only",https://valuing-an-act-of-valuing.github.io/,en,"by Kazuma Sasajima",none,,gallery
大切にすることを大切にするためのギャラリー,"Members Only",/value/gallery/,en,"新しいプロジェクト「大切にすることを大切にするためのギャラリー」を開始します。",none,,topics
pe.hu,"ささじまかずま",/value/online/valuing/motto/,en,"MOTTO | ペフの由来と名前の意味",none,,valuing
Sign,"∧° ┐ | creative, community space",/value/online/people/sign/,ja,"オープニングパーティで披露した歌の歌詞
作曲 Le Makeup / 作詞 中尾香織・ささじまかずま",none,,peoples
That Smell,Kazuma Sasajima,/value/online/people/thesmell/,en,"大切にすることを大切にするための本 未収録エッセイ
Outtake from the book for valuing an act of valuing.",none,,things
In The Wind,Kazuma Sasajima,/value/online/things/inthewind/,en,"",block,/value/online/sample_en/image.jpg,objects
今でも大切？,Special Edition,/value/still/,en,"2020.5.30 発売開始",block,/value/still/000.png,topics
大切にすることを大切にするための本,the book for valuing an act of valuing,/value/book/,en,"2019.11.23 発売開始",block,/value/book/book.png,topics
NS5,Niceshop Su 5th anniversary exhibition,https://vg.pe.hu/2f/ns5.html,en,"2019年2月22日-3月8日
ナイスショップスーの大切な人たちの大切なものを集めた展覧会を開催",none,,topics
